blockLot,fullAddress,neighborhood,councilDistrict,policeDistrict,Location 1,noticeDate
4616 047,4831 PARK HEIGHTS AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.346172536600001, -76.671706295199996)",03/28/2012
2491B008,600 N WOODINGTON ROAD,ROGNEL HEIGHTS,8,SOUTHWESTERN,"(39.294126796800001, -76.686244428600006)",05/03/2013
0720 005,608 S FULTON AVE,CARROLLTON RIDGE,9,SOUTHERN,"(39.280819335300002, -76.644990170200003)",11/04/2005
0084 056,1828 W LANVALE ST,HARLEM PARK,9,WESTERN,"(39.297771582400003, -76.647010348999999)",07/16/2009
0216 055,1220 HOLLINS ST,HOLLINS MARKET,9,SOUTHERN,"(39.287759920200003, -76.6376132969)",02/25/2008
0298 023,521 CUMBERLAND ST,DRUID HEIGHTS,7,CENTRAL,"(39.309561900299997, -76.6409314677)",10/09/2013
2175 066,2562 BOYD ST,SHIPLEY HILL,9,SOUTHWESTERN,"(39.286302237500003, -76.6580010526)",11/05/2004
4059 027,635 E 37TH ST,WAVERLY,14,NORTHERN,"(39.3333543456, -76.606210979799997)",06/05/2012
1714 038,156 N DECKER AVE,PATTERSON PARK NEIGHBORHOOD,1,SOUTHEASTERN,"(39.294455667500003, -76.574393253300002)",10/16/2007
3.35E+15,2633 PARK HEIGHTS TERR,GREENSPRING,6,NORTHERN,"(39.338086509900002, -76.662479370300005)",11/21/2007
1536 064,1209 N BRADFORD ST,BROADWAY EAST,13,EASTERN,"(39.305143576399999, -76.584627919799999)",01/18/2008
0155 004,1106 W SARATOGA ST,POPPLETON,9,WESTERN,"(39.292549767700002, -76.635775903699994)",06/05/2009
1503 024,2307 E OLIVER ST,BROADWAY EAST,13,EASTERN,"(39.307665335800003, -76.585087212800005)",10/10/2007
3459 050,2310 CALLOW AVE,RESERVOIR HILL,7,CENTRAL,"(39.313982753399998, -76.631719882699997)",12/14/2012
0280 088,319 S NORRIS ST,NEW SOUTHWEST/MOUNT CLARE,9,SOUTHERN,"(39.283851715499999, -76.639840708600005)",02/08/2011
4747 020,2726 OAKLEY AVE,CYLBURN,6,NORTHERN,"(39.349134866100002, -76.665478392799997)",06/24/2010
2332D042,2900 BELMONT AVE,NORTHWEST COMMUNITY ACTION,9,SOUTHWESTERN,"(39.3037469605, -76.665987517700003)",06/28/2012
1551 036,2018 E CHASE ST,MIDDLE EAST,12,EASTERN,"(39.303623663400003, -76.589380675399994)",07/06/2009
0155 013,1124 W SARATOGA ST,POPPLETON,9,WESTERN,"(39.2925062176, -76.636298013900003)",10/27/2011
3212 002,2102 WALBROOK AVE,MONDAWMIN,7,WESTERN,"(39.310940463100003, -76.651573984199999)",09/20/2005
1714 161,3018 E FAYETTE ST,ELLWOOD PARK/MONUMENT,13,SOUTHEASTERN,"(39.294906857699999, -76.574364942900004)",09/12/2013
0204 032,2211 W BALTIMORE ST,BOYD-BOOTH,9,SOUTHWESTERN,"(39.287746424200002, -76.651867305300001)",06/01/2012
1449 005,2008 E LAFAYETTE AVE,BROADWAY EAST,12,EASTERN,"(39.311042433899999, -76.590021506900001)",07/10/2007
3408 121,2508 SALEM ST,PENN NORTH,7,WESTERN,"(39.3125788081, -76.642998800000001)",11/28/2007
0279 085,328 S PARRISH ST,NEW SOUTHWEST/MOUNT CLARE,9,SOUTHERN,"(39.283666404900003, -76.641588053899994)",04/28/2010
0082 063,815 N BRICE ST,MIDTOWN-EDMONDSON,9,WESTERN,"(39.298075684499999, -76.649755115100007)",04/15/2010
1500 030C,2116 LLEWELYN AVE,BROADWAY EAST,13,EASTERN,"(39.3073597944, -76.587642950800003)",06/16/2005
1687 064,231 N DUNCAN ST,CARE,13,SOUTHEASTERN,"(39.295090965299998, -76.586895193299995)",10/17/2008
4158 012,2022 N WASHINGTON ST,SOUTH CLIFTON PARK,12,EASTERN,"(39.313717864200001, -76.590884950299994)",01/06/2011
0266B009,1216 GLYNDON AVE,WASHINGTON VILLAGE/PIGTOWN,10,SOUTHERN,"(39.282669436799999, -76.635929312800002)",11/23/2011
2244A032,3507 OLD FREDERICK ROAD,IRVINGTON,8,SOUTHWESTERN,"(39.282436507200003, -76.675318290600003)",10/28/2009
1473 040,1608 N BRADFORD ST,BROADWAY EAST,13,EASTERN,"(39.309366891099998, -76.585268528699999)",09/22/2011
1659 007,513 N KENWOOD AVE,MCELDERRY PARK,13,SOUTHEASTERN,"(39.297236085199998, -76.577692931100003)",09/21/2012
0058 005,1908 MOSHER ST,MIDTOWN-EDMONDSON,9,WESTERN,"(39.3000066305, -76.647923420799998)",10/23/2008
0266B002,1202 GLYNDON AVE,WASHINGTON VILLAGE/PIGTOWN,10,SOUTHERN,"(39.282842571800003, -76.635710463999999)",07/06/2007
1627 040,728 N KENWOOD AVE,MADISON-EASTEND,13,EASTERN,"(39.299640705100003, -76.578347379700006)",04/16/2013
0506 004,1007 N CHARLES ST,MID-TOWN BELVEDERE,12,CENTRAL,"(39.301380938699999, -76.615623608500002)",02/25/2010
0065 002,1202 MOSHER ST,SANDTOWN-WINCHESTER,9,WESTERN,"(39.300343923699998, -76.637778836400003)",09/23/2008
0275 135,1803 WILHELM ST,CARROLLTON RIDGE,9,SOUTHERN,"(39.283618072400003, -76.645363827099999)",11/08/2005
1557 047,2603 E BIDDLE ST,BIDDLE STREET,13,EASTERN,"(39.304627737899999, -76.581027286199998)",03/06/2012
1463 068,1727 N BRADFORD ST,BROADWAY EAST,13,EASTERN,"(39.3105184928, -76.5849503094)",04/19/2007
2206A006,2557 EDMONDSON AVE,ROSEMONT HOMEOWNERS/TENANTS,9,WESTERN,"(39.294385390099997, -76.658270217099997)",07/08/2011
7479 017,2628 PIERPONT ST,MOUNT WINANS,10,SOUTHERN,"(39.260057535500003, -76.644023495100001)",06/25/2010
0090 035,1232 W LANVALE ST,HARLEM PARK,9,WESTERN,"(39.298096017399999, -76.638343839200004)",12/28/2012
1549 010,1826 E CHASE ST,MIDDLE EAST,12,EASTERN,"(39.303520243299999, -76.591765211999999)",05/20/2009
4550 005,3508 W BELVEDERE AVE,ARLINGTON,5,NORTHWESTERN,"(39.3472086461, -76.6793328495)",02/06/2012
1449 116,1837 N WASHINGTON ST,BROADWAY EAST,12,EASTERN,"(39.311933546699997, -76.590096437900002)",06/12/2006
2388A074,1214 N DUKELAND ST,WINCHESTER,9,SOUTHWESTERN,"(39.302104907900002, -76.663861951800001)",03/14/2012
0271 069,322 FURROW ST,CARROLLTON RIDGE,9,SOUTHWESTERN,"(39.2833459852, -76.652058333100001)",03/17/2006
3205 056,2109 HERBERT ST,MONDAWMIN,7,WESTERN,"(39.310111563200003, -76.651935065999993)",10/26/2007
4167 013,2026 E NORTH AVE,SOUTH CLIFTON PARK,12,EASTERN,"(39.312627014199997, -76.589224422100003)",06/15/2011
0377 036,1403 DRUID HILL AVE,UPTON,11,CENTRAL,"(39.303062032600003, -76.629472551600003)",03/26/2009
0128 057,506 N SCHROEDER ST,HARLEM PARK,9,WESTERN,"(39.2946949858, -76.634332813200004)",07/31/2009
1612 041,807 N STREEPER ST,MADISON-EASTEND,13,EASTERN,"(39.300523575100001, -76.577262760099998)",05/14/2010
3335 054,2600 VIOLET AVE,PARK CIRCLE,6,NORTHWESTERN,"(39.331405290799999, -76.658708867599998)",04/05/2012
5750A050,3826 BAYONNE AVE,GLENHAM-BELHAR,2,NORTHEASTERN,"(39.3467956036, -76.547547375600004)",12/16/2010
1549 022,1802 E CHASE ST,MIDDLE EAST,12,EASTERN,"(39.303497994700002, -76.592331330600004)",05/12/2009
1519 039,2309 E HOFFMAN ST,BROADWAY EAST,13,EASTERN,"(39.306607769999999, -76.5849808647)",09/09/2011
4747B020,2852 W GARRISON AVE,CYLBURN,6,NORTHERN,"(39.3499480551, -76.667743814700003)",08/08/2013
0124 058,1412 W FRANKLIN ST,HARLEM PARK,9,WESTERN,"(39.2942742555, -76.640666271699999)",01/05/2007
3345 027,2645 OSWEGO AVE,GREENSPRING,6,NORTHERN,"(39.336046993099998, -76.661784910899996)",03/12/2012
0430 050,806 HARLEM AVE,UPTON,11,CENTRAL,"(39.297178760000001, -76.631137123599999)",01/11/2013
2406 097,2808 PRESBURY ST,NORTHWEST COMMUNITY ACTION,7,SOUTHWESTERN,"(39.3074736835, -76.664348190599995)",07/11/2011
0274 006,310 S MONROE ST,CARROLLTON RIDGE,9,SOUTHERN,"(39.283910726800002, -76.646980428600003)",10/05/2012
3210 093,2017 N PAYSON ST,MONDAWMIN,7,WESTERN,"(39.311516797899998, -76.649769203800005)",09/06/2012
2174A017,2420 FREDERICK AVE,SHIPLEY HILL,9,SOUTHWESTERN,"(39.284094977400002, -76.6552330719)",05/21/2008
3413 029,2456 DRUID HILL AVE,PENN NORTH,7,WESTERN,"(39.312414250000003, -76.640545821800004)",04/12/2006
1621 027,2107 E MADISON ST,MIDDLE EAST,13,EASTERN,"(39.2995209798, -76.587242042499994)",08/22/2013
1553 073,2205 HENNEMAN AVE,MIDDLE EAST,13,EASTERN,"(39.303938667499999, -76.586496538600002)",04/25/2008
1554 006,1111 N PATTERSON PARK AVE,BIDDLE STREET,13,EASTERN,"(39.303901740000001, -76.585180437099993)",09/05/2008
1182 025,703 E CHASE ST,JOHNSTON SQUARE,12,EASTERN,"(39.302528013200003, -76.607170485899999)",08/26/2008
1112 047,1002 E FEDERAL ST,OLIVER,12,EASTERN,"(39.3083523942, -76.603760830200002)",05/20/2011
0163 076,214 N FULTON AVE,FRANKLIN SQUARE,9,WESTERN,"(39.290992865299998, -76.645627952400005)",11/24/2010
0279 007,1515 MCHENRY ST,NEW SOUTHWEST/MOUNT CLARE,9,SOUTHERN,"(39.284229188399998, -76.641570613300004)",10/22/2007
3421 037,2437 MADISON AVE,RESERVOIR HILL,7,CENTRAL,"(39.3136481425, -76.638339541400001)",04/09/2008
1504 070,2422 LLEWELYN AVE,BROADWAY EAST,13,EASTERN,"(39.307527029500001, -76.583358034499994)",08/12/2011
0195 014,1627 W FAYETTE ST,FRANKLIN SQUARE,9,WESTERN,"(39.289406854500001, -76.643488703499997)",02/04/2008
0110 013,630 N GILMOR ST,HARLEM PARK,9,WESTERN,"(39.296214869000003, -76.643113976199999)",04/28/2010
1716 001,101 N EAST AVE,PATTERSON PARK NEIGHBORHOOD,1,SOUTHEASTERN,"(39.293611802400001, -76.572208567399997)",07/26/2013
1660 035,509 N CURLEY ST,ELLWOOD PARK/MONUMENT,13,SOUTHEASTERN,"(39.2972277768, -76.575589694599998)",10/02/2009
4609 036,4811 REISTERSTOWN ROAD,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.341875836200003, -76.675995067800002)",02/03/2012
2307A039,2402 WESTWOOD AVE,COPPIN HEIGHTS/ASH-CO-EAST,7,WESTERN,"(39.308692425700002, -76.6563959721)",03/26/2009
1570 055,2218 PRENTISS PL,MIDDLE EAST,13,EASTERN,"(39.303118183199999, -76.586392765699998)",05/25/2007
2425 027,1709 N ROSEDALE ST,ROSEMONT,7,SOUTHWESTERN,"(39.307374823000004, -76.668955328699994)",03/19/2008
2448 037,1111 ELLICOTT DRIVEWAY,WINCHESTER,9,SOUTHWESTERN,"(39.300912017800002, -76.668440408600006)",11/21/2011
1473 085,2320 E FEDERAL ST,BROADWAY EAST,13,EASTERN,"(39.3091183688, -76.584652373899999)",12/26/2012
0396 004,1318 DRUID HILL AVE,UPTON,11,CENTRAL,"(39.302163745999998, -76.629141509700005)",09/03/2008
1647 042,3112 MCELDERRY ST,ELLWOOD PARK/MONUMENT,13,SOUTHEASTERN,"(39.298274343599999, -76.573316712299999)",12/28/2011
0121 006,520 1/2 N MOUNT ST,HARLEM PARK,9,WESTERN,"(39.294441538299999, -76.644371497700007)",09/28/2006
6154 022,607 N CLINTON ST,ELLWOOD PARK/MONUMENT,13,SOUTHEASTERN,"(39.298644272499999, -76.5705145923)",06/18/2010
1570 073,2209 PRENTISS PL,MIDDLE EAST,13,EASTERN,"(39.302820967999999, -76.586591826299994)",01/26/2005
0158 015,816 W SARATOGA ST,POPPLETON,9,WESTERN,"(39.292971588599997, -76.631772225800006)",08/18/2005
4.18E+68,3216 ELMLEY AVE,BELAIR-EDISON,13,NORTHEASTERN,"(39.317188656200003, -76.577724144100003)",05/14/2010
4139 053,2752 THE ALAMEDA,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.322086350100001, -76.592316087599997)",01/25/2011
1143 057,1315 HILLMAN ST,JOHNSTON SQUARE,12,EASTERN,"(39.3055779086, -76.605704655799997)",08/02/2012
0192 051,1935 W FAYETTE ST,PENROSE/FAYETTE STREET OUTREACH,9,WESTERN,"(39.289242412299998, -76.647960720100002)",01/06/2013
1142A022,708 E PRESTON ST,JOHNSTON SQUARE,12,EASTERN,"(39.305017954199997, -76.607869781000005)",10/12/2012
1125 005,1412 E OLIVER ST,OLIVER,12,EASTERN,"(39.307494994099997, -76.599104852500005)",12/19/2012
0096 031,1813 W LANVALE ST,HARLEM PARK,9,WESTERN,"(39.297384131599998, -76.646628520999997)",01/27/2010
3935 123,2782 TIVOLY AVE,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.323260126400001, -76.592049995599993)",06/05/2013
0083 034,815 N PAYSON ST,MIDTOWN-EDMONDSON,9,WESTERN,"(39.2981330804, -76.648944938900001)",01/19/2011
2402 073,1813 N DUKELAND ST,COPPIN HEIGHTS/ASH-CO-EAST,7,WESTERN,"(39.308505580599999, -76.663413744500005)",01/02/2009
1144 048,938 E PRESTON ST,JOHNSTON SQUARE,12,EASTERN,"(39.305193483799997, -76.603787609299999)",11/25/2005
4021C023,2305 HOMEWOOD AVE,EAST BALTIMORE MIDWAY,12,EASTERN,"(39.315601739400002, -76.606752984699995)",06/08/2011
0020 081,1542 MCKEAN AVE,SANDTOWN-WINCHESTER,7,WESTERN,"(39.306033046400003, -76.647354446400001)",08/17/2010
0360 018,1547 ARGYLE AVE,UPTON,11,CENTRAL,"(39.302316351000002, -76.634537039199998)",07/26/2012
0065 006,1210 MOSHER ST,SANDTOWN-WINCHESTER,9,WESTERN,"(39.300336078999997, -76.637974639500001)",12/23/2005
0178 046,1822 W FAYETTE ST,FRANKLIN SQUARE,9,WESTERN,"(39.289732405400002, -76.646130176499994)",04/16/2012
1587 108,910 N CASTLE ST,MIDDLE EAST,13,EASTERN,"(39.301207522699997, -76.589101274300006)",09/07/2007
0062 012,1022 N STRICKER ST,SANDTOWN-WINCHESTER,9,WESTERN,"(39.300614822299998, -76.641904735899999)",11/09/2004
4613 018,3017 W GARRISON AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.348224079799998, -76.671687791500005)",09/20/2013
0006 038A,2016 PRESBURY ST,EASTERWOOD,7,WESTERN,"(39.307970562500003, -76.650664478300001)",10/29/2010
0233 043,1208 W LOMBARD ST,HOLLINS MARKET,9,SOUTHERN,"(39.286768213499997, -76.636976790099993)",11/08/2005
1138 040,1436 N BROADWAY,OLIVER,12,EASTERN,"(39.307227805099998, -76.595185767100006)",07/13/2006
1529 047,1723 E PRESTON ST,BROADWAY EAST,12,EASTERN,"(39.305189555399998, -76.593774304199997)",11/15/2004
0217 047,1110 HOLLINS ST,HOLLINS MARKET,9,SOUTHERN,"(39.287840449500003, -76.635640857400006)",09/24/2008
0049 044,1101 N PAYSON ST,BRIDGEVIEW/GREENLAWN,9,WESTERN,"(39.301274294899997, -76.649131251300005)",12/21/2011
3196F032,3533 VIRGINIA AVE,LUCILLE PARK,6,NORTHWESTERN,"(39.339352195499998, -76.672920885400003)",09/21/2007
1286 008,439 OLDTOWN MALL,OLDTOWN,12,EASTERN,"(39.295104908600003, -76.605124226200005)",01/21/2010
0145 013,324 N PULASKI ST,PENROSE/FAYETTE STREET OUTREACH,9,WESTERN,"(39.292433726200002, -76.650554077999999)",08/14/2006
1553 037,2247 E BIDDLE ST,MIDDLE EAST,13,EASTERN,"(39.304447713800002, -76.585729479899996)",03/06/2008
1121 018,1534 HOLBROOK ST,OLIVER,12,EASTERN,"(39.3078774946, -76.603411985099996)",04/04/2012
1453 030,2312 E LAFAYETTE AVE,BROADWAY EAST,13,EASTERN,"(39.311241549599998, -76.5846919058)",09/26/2011
4595 010,3716 OAKMONT AVE,LANGSTON HUGHES,6,NORTHWESTERN,"(39.342713848599999, -76.677741324699994)",02/08/2006
1536 060,1217 N BRADFORD ST,BROADWAY EAST,13,EASTERN,"(39.305277247900001, -76.584636326500004)",09/28/2006
2141 027,2676 DULANY ST,MILLHILL,9,SOUTHWESTERN,"(39.2797846259, -76.658300961400002)",08/22/2007
0301 043,1509 N CAREY ST,SANDTOWN-WINCHESTER,7,WESTERN,"(39.307279601399998, -76.640526094600006)",04/25/2012
4190A040,2921 ERDMAN AVE,BELAIR-EDISON,13,NORTHEASTERN,"(39.322295755200003, -76.575271932600003)",03/18/2011
0850 012,901 WASHINGTON BLVD,WASHINGTON VILLAGE/PIGTOWN,10,SOUTHERN,"(39.282686391799999, -76.631199644099993)",07/19/2013
0307 048,2107 PENNSYLVANIA AVE,DRUID HEIGHTS,7,CENTRAL,"(39.307082651599998, -76.638377563999995)",11/01/2007
2154 019,2318 W FAYETTE ST,PENROSE/FAYETTE STREET OUTREACH,9,WESTERN,"(39.289445426100002, -76.653526699899999)",11/30/2010
1477 014,1527 N BROADWAY,BROADWAY EAST,12,EASTERN,"(39.308148580400001, -76.594491104900001)",06/16/2008
1754 042,1826 GOUGH ST,UPPER FELLS POINT,1,SOUTHEASTERN,"(39.287938060800002, -76.590737132399994)",08/06/2013
0699 075,1934 CHRISTIAN ST,CARROLLTON RIDGE,9,SOUTHERN,"(39.282544639299999, -76.647720498599995)",08/01/1995
3301 083,3421 DUPONT AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.341531205300001, -76.671539540200001)",04/19/2013
1494 015,1427 N BROADWAY,BROADWAY EAST,12,EASTERN,"(39.307219913300003, -76.594459994199994)",12/24/2007
1189 031,1304 E EAGER ST,JOHNSTON SQUARE,12,EASTERN,"(39.301813168800003, -76.600066836099998)",02/17/2012
7119 005,4009 8TH ST,BROOKLYN,10,SOUTHERN,"(39.231419654699998, -76.601200752899999)",07/12/2013
1587 073,918 N CHESTER ST,MIDDLE EAST,13,EASTERN,"(39.301152163899999, -76.5882681203)",09/12/2012
0711 024,1838 EAGLE ST,CARROLLTON RIDGE,9,SOUTHERN,"(39.281228733100001, -76.645767115599995)",09/13/2007
0128 075,1016 BENNETT PL,HARLEM PARK,9,WESTERN,"(39.2950834564, -76.634872596099996)",08/18/2010
0076 003,905 N STRICKER ST,SANDTOWN-WINCHESTER,9,WESTERN,"(39.299157024099998, -76.6412493025)",04/23/2010
7772 046,1015 DESOTO ROAD,WILHELM PARK,10,SOUTHWESTERN,"(39.272843501200001, -76.665088145699997)",07/11/2012
0396 032,1339 DIVISION ST,UPTON,11,CENTRAL,"(39.301905937500003, -76.630122118900005)",01/25/2006
1587 008,925 N WASHINGTON ST,MIDDLE EAST,13,EASTERN,"(39.301298597699997, -76.589459272100001)",03/11/2011
0149 066,323 N FULTON AVE,FRANKLIN SQUARE,9,WESTERN,"(39.292649482199998, -76.645169549800002)",01/08/2009
0082 057,803 N BRICE ST,MIDTOWN-EDMONDSON,9,WESTERN,"(39.297852899600002, -76.649743363200002)",03/07/2005
3170 008,2801 ULMAN AVE,PARK CIRCLE,6,NORTHWESTERN,"(39.328480021700003, -76.660605187200005)",05/22/2007
0210 005,1611 W BALTIMORE ST,FRANKLIN SQUARE,9,WESTERN,"(39.288145264000001, -76.643375398900005)",07/23/2008
4605A050A,3329 W GARRISON AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.346017311799997, -76.675545253699994)",01/20/2012
5827 005,5214 BELAIR ROAD,WALTHERSON,2,NORTHEASTERN,"(39.337881852199999, -76.553200782800005)",02/21/2012
1137 038,1407 N CAROLINE ST,OLIVER,12,EASTERN,"(39.306523564899997, -76.597833335100006)",04/03/2013
1625 073,710 N ROSE ST,MILTON-MONTFORD,13,EASTERN,"(39.299362050500001, -76.581808130100001)",08/24/2007
0415 005,1208 DRUID HILL AVE,UPTON,11,CENTRAL,"(39.301283117899999, -76.628053212799998)",09/13/2013
3212 074,2117 RIDGEHILL AVE,MONDAWMIN,7,WESTERN,"(39.311132602699999, -76.652155303499995)",01/30/2008
3177A004,2906 SPRINGHILL AVE,PARK CIRCLE,6,NORTHWESTERN,"(39.3310190937, -76.663770295899994)",04/09/2008
1099B105,1816 AIKEN ST,OLIVER,12,EASTERN,"(39.311079242399998, -76.601038554599995)",07/17/2008
3207 059,1918 N MONROE ST,MONDAWMIN,7,WESTERN,"(39.310601746899998, -76.648467650399994)",07/05/2005
0102 046A,1202 HARLEM AVE,HARLEM PARK,9,WESTERN,"(39.296824434800001, -76.637757006699999)",05/28/2009
1095 042,1804 BARCLAY ST,GREENMOUNT WEST,12,EASTERN,"(39.310445360199999, -76.611134197699997)",11/05/2004
0117 003,504 N PULASKI ST,MIDTOWN-EDMONDSON,9,WESTERN,"(39.293872764100001, -76.650639736399995)",04/22/2010
0031 003,1314 N FULTON AVE,SANDTOWN-WINCHESTER,7,WESTERN,"(39.303529728699999, -76.646341000800007)",01/08/2013
4130 031,1609 ABBOTSTON ST,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.322602227200001, -76.594412969499999)",07/22/2008
1127 051,1516 N BROADWAY,OLIVER,12,EASTERN,"(39.307823150899999, -76.595248278200003)",06/22/2012
0289 026,403 S SMALLWOOD ST,CARROLLTON RIDGE,9,SOUTHWESTERN,"(39.282783089600002, -76.650907240099997)",01/09/2008
3347F028,2637 LOYOLA NORTHWAY,GREENSPRING,6,NORTHERN,"(39.3387023465, -76.662880577799996)",06/04/2009
3973C012,621 SPRINGFIELD AVE,PEN LUCY,4,NORTHERN,"(39.340689847699998, -76.606385947999996)",10/19/2007
3228B047,2846 PARKWOOD AVE,PARKVIEW/WOODBROOK,7,WESTERN,"(39.315567115, -76.646826191100004)",12/16/2011
0082 053,804 N PAYSON ST,MIDTOWN-EDMONDSON,9,WESTERN,"(39.297887004499998, -76.649462032299994)",05/17/2005
0313 008,2014 DIVISION ST,UPTON,11,CENTRAL,"(39.306963530499999, -76.637155611500006)",10/29/2007
2504 002,702 LINNARD ST,EDGEWOOD,8,SOUTHWESTERN,"(39.295452617800002, -76.676695723999998)",06/14/2013
4.18E+63,3206 ELMLEY AVE,BELAIR-EDISON,13,NORTHEASTERN,"(39.317184886, -76.578007854399999)",07/06/2012
0708 022,1543 RAMSAY ST,NEW SOUTHWEST/MOUNT CLARE,9,SOUTHERN,"(39.283115604499997, -76.641845373899997)",08/12/2005
1713 051,122 N CURLEY ST,PATTERSON PARK NEIGHBORHOOD,1,SOUTHEASTERN,"(39.293831438600002, -76.575771728500001)",05/16/2012
0222 029,2157 HOLLINS ST,BOYD-BOOTH,9,SOUTHWESTERN,"(39.286755874500003, -76.651433219699996)",11/05/2004
4120 060,1620 HOMESTEAD ST,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.321103190700001, -76.595501504699996)",06/19/2012
0294 041,1733 N CAREY ST,PENN NORTH,7,WESTERN,"(39.309495406899998, -76.643078110900007)",04/02/2008
1109 040,1704 N BROADWAY,OLIVER,12,EASTERN,"(39.309764730399998, -76.595382600600004)",01/18/2006
0239 027,202 FURROW ST,CARROLLTON RIDGE,9,SOUTHWESTERN,"(39.284533965999998, -76.652202999899998)",05/07/2008
3327C015,3441 PARK HEIGHTS AVE,PARK CIRCLE,6,NORTHWESTERN,"(39.3274364281, -76.657101125599993)",05/06/2008
0272 066,314 S PULASKI ST,CARROLLTON RIDGE,9,SOUTHWESTERN,"(39.283447875699999, -76.650044981500002)",04/26/2012
5165 049,747 MCCABE AVE,WINSTON-GOVANS,4,NORTHERN,"(39.351956128899999, -76.605195823100004)",08/16/2007
1522 083,2607 GROGAN AVE,BEREA,13,EASTERN,"(39.306293663700004, -76.580789003299998)",08/17/2011
1099B008,1232 E LAFAYETTE AVE,OLIVER,12,EASTERN,"(39.310605967999997, -76.601383402099998)",03/21/2005
2174A013,2428 FREDERICK AVE,SHIPLEY HILL,9,SOUTHWESTERN,"(39.283985383199997, -76.655366425500006)",07/08/2009
3212 083,2118 RIDGEHILL AVE,MONDAWMIN,7,WESTERN,"(39.311393127999999, -76.652241330199999)",10/07/2008
1591 045,2415 E EAGER ST,MILTON-MONTFORD,13,EASTERN,"(39.301648488799998, -76.583446843700003)",11/26/2007
1115 002,1401 E LANVALE ST,OLIVER,12,EASTERN,"(39.309209023400001, -76.599677721800006)",08/01/2008
3347D002,2602 LOYOLA SOUTHWAY,GREENSPRING,6,NORTHERN,"(39.337469538900002, -76.661049838599993)",01/05/2009
0185 035,1068 W FAYETTE ST,POPPLETON,9,WESTERN,"(39.290040074899999, -76.635914690099995)",07/23/2009
7257 068,3939 INNER CIR,CURTIS BAY,10,SOUTHERN,"(39.229022724399996, -76.592153507299997)",08/16/2013
0110 052,1608 EDMONDSON AVE,HARLEM PARK,9,WESTERN,"(39.2954756074, -76.643399285699999)",10/24/2006
0701 054,605 S BENTALOU ST,CARROLLTON RIDGE,9,SOUTHWESTERN,"(39.279908964999997, -76.651422194099993)",06/02/2013
0008 035,1731 MCKEAN AVE,SANDTOWN-WINCHESTER,7,WESTERN,"(39.308514130399999, -76.646996931999993)",03/13/2008
3055A001,2419 DENISON ST,HANLON-LONGWOOD,7,NORTHWESTERN,"(39.314763157900003, -76.674098833100004)",03/21/2013
1529 051,1715 E PRESTON ST,BROADWAY EAST,12,EASTERN,"(39.305181289899998, -76.593977012899998)",08/27/2010
0429 011,1623 N CALVERT ST,GREENMOUNT WEST,12,EASTERN,"(39.308306332100003, -76.613343586400006)",05/12/2005
7470P022,2943 MALLVIEW ROAD,LAKELAND,10,SOUTHERN,"(39.252341703600003, -76.641248348299996)",03/03/2008
0148 017,1818 W SARATOGA ST,FRANKLIN SQUARE,9,WESTERN,"(39.292193493100001, -76.645988804599995)",04/22/2010
1177 001,1122 N BOND ST,GAY STREET,12,EASTERN,"(39.3038987443, -76.596812325900004)",09/17/2013
1109 048,1720 N BROADWAY,OLIVER,12,EASTERN,"(39.310094366599998, -76.595404647300001)",02/25/2010
1125 037,1429 E FEDERAL ST,OLIVER,12,EASTERN,"(39.308186296000002, -76.598839249899996)",05/18/2011
0313 022,541 BLOOM ST,UPTON,11,CENTRAL,"(39.307065964800003, -76.637604105600005)",02/25/2009
5913 002,3601 BELAIR ROAD,BELAIR-EDISON,13,NORTHEASTERN,"(39.324209213000003, -76.569804567700004)",06/19/2012
7480 014,2622 HOLLINS FERRY ROAD,MOUNT WINANS,10,SOUTHERN,"(39.2596652087, -76.643269405200002)",06/14/2010
1154 029,616 E BIDDLE ST,JOHNSTON SQUARE,12,EASTERN,"(39.303918207099997, -76.608729546000006)",01/09/2012
1611 019B,2725 ASHLAND AVE,MADISON-EASTEND,13,EASTERN,"(39.3009125118, -76.578690133199999)",10/06/2010
7184A002,1642 CEDDOX ST,CURTIS BAY,10,SOUTHERN,"(39.221453119099998, -76.586702830500002)",11/19/2009
3355A009,2516 OSWEGO AVE,GREENSPRING,6,NORTHERN,"(39.337189751799997, -76.659426621500003)",07/07/2009
